country,iso3,year,gdp_current_usd
Australia,AUS,2001,380360222861.197
Australia,AUS,2002,396436967262.563
Australia,AUS,2003,468517181129.878
Australia,AUS,2004,615643050220.515
Australia,AUS,2005,696811489612.816
Australia,AUS,2006,749708370332.989
Australia,AUS,2007,856603595823.192
Australia,AUS,2008,1058448244063.77
Australia,AUS,2009,931761689770.843
Australia,AUS,2010,1152566632022.13
Australia,AUS,2011,1402939868653.4
Australia,AUS,2012,1552728401401.58
Australia,AUS,2013,1583737461925.39
Australia,AUS,2014,1474677007565.64
Australia,AUS,2015,1356805839935.9
Australia,AUS,2016,1211588128417.61
Australia,AUS,2017,1330890554614.09
Australia,AUS,2018,1433144978761.67
Australia,AUS,2019,1398349602956.35
Australia,AUS,2020,1333336461648.09
Australia,AUS,2021,1560617493202.69
Australia,AUS,2022,1695627535475.8
Australia,AUS,2023,1734451264655.6
Australia,AUS,2024,1757022451652.83
Austria,AUT,1960,6624086313.14334
Austria,AUT,1961,7346566037.83392
Austria,AUT,1962,7793042529.15992
Austria,AUT,1963,8414050621.01716
Austria,AUT,1964,9213648655.97511
Austria,AUT,1965,10041659445.118
Austria,AUT,1966,10939526218.6393
Austria,AUT,1967,11634569521.9273
Austria,AUT,1968,12499863917.1003
Austria,AUT,1969,13647475854.0287
Austria,AUT,1970,15312791743.8476
Austria,AUT,1971,17788536733.1204
Austria,AUT,1972,21973207929.0434
Austria,AUT,1973,29399860144.7748
Austria,AUT,1974,35051468639.576
Austria,AUT,1975,39902300703.1682
Austria,AUT,1976,42791707448.0325
Austria,AUT,1977,51343861460.328
Austria,AUT,1978,61809208755.804
Austria,AUT,1979,73647694287.1848
Austria,AUT,1980,81737498404.5948
Austria,AUT,1981,70755997062.3812
Austria,AUT,1982,70996111962.5716
Austria,AUT,1983,71838528420.4075
Austria,AUT,1984,67719055773.3306
Austria,AUT,1985,69114996009.577
Austria,AUT,1986,98648254168.5444
Austria,AUT,1987,123682091858.946
Austria,AUT,1988,132817124707.456
Austria,AUT,1989,132584448257.93
Austria,AUT,1990,165811372382.912
Austria,AUT,1991,173113449616.971
Austria,AUT,1992,194314032056.098
Austria,AUT,1993,189634029338.696
Austria,AUT,1994,202738023129.743
Austria,AUT,1995,240094169510.031
Austria,AUT,1996,235952581232.129
Austria,AUT,1997,211724812267.448
Austria,AUT,1998,217068085815.918
Austria,AUT,1999,216421809125.916
Austria,AUT,2000,196181599831.287
Austria,AUT,2001,196477206829.33
Austria,AUT,2002,212837224022.813
Austria,AUT,2003,260779834340.097
Austria,AUT,2004,299210411454.823
Austria,AUT,2005,313952317330.776
Austria,AUT,2006,333905979332.481
Austria,AUT,2007,386760177589.497
Austria,AUT,2008,429234399096.173
Austria,AUT,2009,399290118782.429
Austria,AUT,2010,389827789217.634
Austria,AUT,2011,428954737064.057
Austria,AUT,2012,406750487603.59
Austria,AUT,2013,426580502769.417
Austria,AUT,2014,438556021078.034
Austria,AUT,2015,379546097300.633
Austria,AUT,2016,393687359770.273
Austria,AUT,2017,414926138132.691
Austria,AUT,2018,452582294972.775
Austria,AUT,2019,442983642371.842
Austria,AUT,2020,434397601557.696
Austria,AUT,2021,480466363176.806
Austria,AUT,2022,473221298968.216
Austria,AUT,2023,516670509628.876
Austria,AUT,2024,534790720466.822
Belarus,BLR,1990,17389558232.9317
Belarus,BLR,1991,18404907975.4601
Belarus,BLR,1992,16939790093.9054
Belarus,BLR,1993,16275073526.9819
Belarus,BLR,1994,14931435232.078
Belarus,BLR,1995,13972683273.5692
Belarus,BLR,1996,14500437519.8258
Belarus,BLR,1997,14128408565.7064
Belarus,BLR,1998,15222012660.4232
Belarus,BLR,1999,12138486532.0203
Belarus,BLR,2000,12736856827.9847
Belarus,BLR,2001,12354820143.8849
Belarus,BLR,2002,14594900944.7658
Belarus,BLR,2003,17825444724.4878
Belarus,BLR,2004,23141566292.9462
Belarus,BLR,2005,30210091836.8294
Belarus,BLR,2006,36961894281.3444
Belarus,BLR,2007,45275711995.825
Belarus,BLR,2008,60752106347.126
Belarus,BLR,2009,50873167326.0414
Belarus,BLR,2010,57231904542.8755
Belarus,BLR,2011,61762382327.9319
Belarus,BLR,2012,65685890438.8922
Belarus,BLR,2013,75527558966.4473
Belarus,BLR,2014,78813069120.9984
Belarus,BLR,2015,56454769844.7632
Belarus,BLR,2016,47723545321.259
Belarus,BLR,2017,54725405751.1559
Belarus,BLR,2018,60031026576.26
Belarus,BLR,2019,64410170653.4569
Belarus,BLR,2020,61371673344.7424
Belarus,BLR,2021,69673747131.87
Belarus,BLR,2022,73775179924.603
Belarus,BLR,2023,72478760370.4258
Belarus,BLR,2024,75961865471.9129
Belgium,BEL,1960,11810619368.3874
Belgium,BEL,1961,12561701694.3319
Belgium,BEL,1962,13436827166.5187
Belgium,BEL,1963,14445805381.3872
Belgium,BEL,1964,16168044450.2523
Belgium,BEL,1965,17597783297.4583
Belgium,BEL,1966,18894891312.2977
Belgium,BEL,1967,20252508995.4745
Belgium,BEL,1968,21654856965.4281
Belgium,BEL,1969,24019653474.9959
Belgium,BEL,1970,26706196046.7931
Belgium,BEL,1971,29821661869.912
Belgium,BEL,1972,37209418018.5134
Belgium,BEL,1973,47743801490.3747
Belgium,BEL,1974,56033077879.0389
Belgium,BEL,1975,65678189097.2908
Belgium,BEL,1976,71113882967.6071
Belgium,BEL,1977,82839905458.6382
Belgium,BEL,1978,101246526194.441
Belgium,BEL,1979,116315456796.918
Belgium,BEL,1980,126829314388.191
Belgium,BEL,1981,104730018470.23
Belgium,BEL,1982,92095926187.5331
Belgium,BEL,1983,87184239053.2544
Belgium,BEL,1984,83349530159.1734
Belgium,BEL,1985,86268264148.3796
Belgium,BEL,1986,120018787249.413
Belgium,BEL,1987,149394404105.889
Belgium,BEL,1988,162299103675.261
Belgium,BEL,1989,164221056511.057
Belgium,BEL,1990,205331747947.851
Belgium,BEL,1991,210510999409.333
Belgium,BEL,1992,234781652446.675
Belgium,BEL,1993,224721795708.955
Belgium,BEL,1994,244884129491.198
Belgium,BEL,1995,288025588396.278
Belgium,BEL,1996,279201433224.756
Belgium,BEL,1997,252708051420.839
Belgium,BEL,1998,258528339631.029
Belgium,BEL,1999,258245733221.468
Belgium,BEL,2000,236792460312.471
Belgium,BEL,2001,236746141604.37
Belgium,BEL,2002,258383599375.177
Belgium,BEL,2003,318082528506.588
Belgium,BEL,2004,369214712443.206
Belgium,BEL,2005,385714762230.039
Belgium,BEL,2006,408259840868.823
Belgium,BEL,2007,470922156309.453
Belgium,BEL,2008,517328087920.078
Belgium,BEL,2009,485014525992.461
Belgium,BEL,2010,481556503720.001
Belgium,BEL,2011,527196649048.639
Belgium,BEL,2012,498414364944.961
Belgium,BEL,2013,524097026598.55
Belgium,BEL,2014,537987419164.351
Belgium,BEL,2015,461044767544.531
Belgium,BEL,2016,474271566739.729
Belgium,BEL,2017,500908767351.53
Belgium,BEL,2018,542638913427.921
Belgium,BEL,2019,536726344405.489
Belgium,BEL,2020,529694473501.791
Belgium,BEL,2021,598522422241.851
Belgium,BEL,2022,591085783326.267
Belgium,BEL,2023,651330595110.011
Belgium,BEL,2024,671370081636.406
Brazil,BRA,1960,17030465539.3906
Brazil,BRA,1961,17275940449.3837
Brazil,BRA,1962,19231747851.5332
Brazil,BRA,1963,23287712878.2002
Brazil,BRA,1964,20963733694.9749
Brazil,BRA,1965,22465522884.0988
Brazil,BRA,1966,28283323733.1114
Brazil,BRA,1967,31086389194.961
Brazil,BRA,1968,33930457425.2613
Brazil,BRA,1969,37171640818.5863
Brazil,BRA,1970,42327664793.6934
Brazil,BRA,1971,48869830901.7878
Brazil,BRA,1972,58434858374.8696
Brazil,BRA,1973,83592275862.9982
Brazil,BRA,1974,109794519727.538
Brazil,BRA,1975,129203555238.827
Brazil,BRA,1976,153168949208.207
Brazil,BRA,1977,176344101401.941
Brazil,BRA,1978,200278646123.581
Brazil,BRA,1979,221338204480.222
Brazil,BRA,1980,237393489892.637
Brazil,BRA,1981,258015174748.648
Brazil,BRA,1982,271314113768.417
Brazil,BRA,1983,189656506321.431
Brazil,BRA,1984,188339974086.58
Brazil,BRA,1985,210879844638.877
Brazil,BRA,1986,256480852471.129
Brazil,BRA,1987,283056836893.838
Brazil,BRA,1988,307881930752.268
Brazil,BRA,1989,412990820287.42
Brazil,BRA,1990,390725626002.866
Brazil,BRA,1991,342609231342.783
Brazil,BRA,1992,328187960871.951
Brazil,BRA,1993,368295778245.09
Brazil,BRA,1994,525369851353.742
Brazil,BRA,1995,769333330411.575
Brazil,BRA,1996,850426433004.077
Brazil,BRA,1997,883206452795.124
Brazil,BRA,1998,863711007325.493
Brazil,BRA,1999,599642075004.471
Brazil,BRA,2000,655448188259.351
Brazil,BRA,2001,559983704094.17
Brazil,BRA,2002,509795270685.19
Brazil,BRA,2003,558233724164.711
Brazil,BRA,2004,669289321944.512
Brazil,BRA,2005,891633826625.407
Brazil,BRA,2006,1107626711163.23
Brazil,BRA,2007,1397114247188.89
Brazil,BRA,2008,1695855391757.96
Brazil,BRA,2009,1666996294252.12
Brazil,BRA,2010,2208838108484.35
Brazil,BRA,2011,2616156606579.21
Brazil,BRA,2012,2465228293706.86
Brazil,BRA,2013,2472819362043.74
Brazil,BRA,2014,2456043766032.38
Brazil,BRA,2015,1802211999456.42
Brazil,BRA,2016,1795693265999.04
Brazil,BRA,2017,2063514688805.78
Brazil,BRA,2018,1916933708352.71
Brazil,BRA,2019,1873288158838.63
Brazil,BRA,2020,1476107292151.95
Brazil,BRA,2021,1670647464062.96
Brazil,BRA,2022,1951923832083.87
Brazil,BRA,2023,2191131869706.02
Brazil,BRA,2024,2185821648943.86
Bulgaria,BGR,1980,19839230769.2308
Bulgaria,BGR,1981,19870000000.0
Bulgaria,BGR,1982,19342000000.0
Bulgaria,BGR,1983,16563666666.6667
Bulgaria,BGR,1984,17594944444.4444
Bulgaria,BGR,1985,17155421052.6316
Bulgaria,BGR,1986,20249294117.6471
Bulgaria,BGR,1987,28101000000.0
Bulgaria,BGR,1988,22555941176.4706
Bulgaria,BGR,1989,21988444444.4444
Bulgaria,BGR,1990,20632090909.0909
Bulgaria,BGR,1991,7628738475.37666
Bulgaria,BGR,1992,8602887622.63828
Bulgaria,BGR,1993,10832064941.654
Bulgaria,BGR,1994,9709240033.98973
Bulgaria,BGR,1995,18991484420.36
Bulgaria,BGR,1996,12294964837.6235
Bulgaria,BGR,1997,11316127378.9613
Bulgaria,BGR,1998,15031055046.7575
Bulgaria,BGR,1999,13637098579.109
Bulgaria,BGR,2000,13245990274.4581
Bulgaria,BGR,2001,14183446025.7389
Bulgaria,BGR,2002,16403043849.8297
Bulgaria,BGR,2003,21144957990.4681
Bulgaria,BGR,2004,26157743368.8716
Bulgaria,BGR,2005,29868657858.0082
Bulgaria,BGR,2006,34380536495.6739
Bulgaria,BGR,2007,44431257128.8618
Bulgaria,BGR,2008,54480684188.4442
Bulgaria,BGR,2009,52023801230.12
Bulgaria,BGR,2010,50689051382.4361
Bulgaria,BGR,2011,57681293006.9721
Bulgaria,BGR,2012,54297052002.2338
Bulgaria,BGR,2013,55819262374.9039
Bulgaria,BGR,2014,57080897012.1077
Bulgaria,BGR,2015,50765918159.1476
Bulgaria,BGR,2016,53929397039.2106
Bulgaria,BGR,2017,59167647387.606
Bulgaria,BGR,2018,66097226262.2191
Bulgaria,BGR,2019,68507731353.9114
Bulgaria,BGR,2020,70486877546.4901
Bulgaria,BGR,2021,84374613233.36
Bulgaria,BGR,2022,90506153293.6733
Bulgaria,BGR,2023,102199231384.542
Bulgaria,BGR,2024,113343355779.985
Canada,CAN,1960,40563768946.9503
Canada,CAN,1961,41038192837.9035
Canada,CAN,1962,42336211555.8268
Canada,CAN,1963,45140337826.9869
Canada,CAN,1964,49503663836.3665
Canada,CAN,1965,54649410478.5226
Canada,CAN,1966,61252415404.686
Canada,CAN,1967,65856924423.9721
Canada,CAN,1968,72048833006.1602
Canada,CAN,1969,79405011124.8208
Canada,CAN,1970,88192257632.3093
Canada,CAN,1971,99606454743.5136
Canada,CAN,1972,113463848873.624
Canada,CAN,1973,131764343565.643
Canada,CAN,1974,160949188139.059
Canada,CAN,1975,174419757176.563
Canada,CAN,1976,207271612576.065
Canada,CAN,1977,212325176304.654
Canada,CAN,1978,219369542386.254
Canada,CAN,1979,243891124295.715
Canada,CAN,1980,274776566028.053
Canada,CAN,1981,307246642755.859
Canada,CAN,1982,314647807408.608
Canada,CAN,1983,341866277182.733
Canada,CAN,1984,356718400123.543
Canada,CAN,1985,366186012449.652
Canada,CAN,1986,379006836991.724
Canada,CAN,1987,433134238310.709
Canada,CAN,1988,509380027626.554
Canada,CAN,1989,567211993243.243
Canada,CAN,1990,596075591360.987
Canada,CAN,1991,612527712315.615
Canada,CAN,1992,594387358318.855
Canada,CAN,1993,579053561739.4
Canada,CAN,1994,579944346807.264
Canada,CAN,1995,605961090061.207
Canada,CAN,1996,630607994132.747
Canada,CAN,1997,654986999855.554
Canada,CAN,1998,634000000000.0
Canada,CAN,1999,678412196271.118
Canada,CAN,2000,744773415931.587
Canada,CAN,2001,738981792355.372
Canada,CAN,2002,760649334098.005
Canada,CAN,2003,895540646634.787
Canada,CAN,2004,1026690238278.25
Canada,CAN,2005,1173108598778.68
Canada,CAN,2006,1319264809590.97
Canada,CAN,2007,1468820407783.26
Canada,CAN,2008,1552989690721.65
Canada,CAN,2009,1374625142157.29
Canada,CAN,2010,1617343367486.26
Canada,CAN,2011,1793326630174.52
Canada,CAN,2012,1828366481521.6
Canada,CAN,2013,1846597421834.98
Canada,CAN,2014,1805749878439.94
Canada,CAN,2015,1556508816217.14
Canada,CAN,2016,1527994741907.43
Canada,CAN,2017,1649265644244.09
Canada,CAN,2018,1725329192783.02
Canada,CAN,2019,1743725183672.52
Canada,CAN,2020,1655684730000.19
Canada,CAN,2021,2022378748423.23
Canada,CAN,2022,2190411080134.32
Canada,CAN,2023,2173339670064.33
Canada,CAN,2024,2243636826633.76
Chile,CHL,1960,4211103676.74027
Chile,CHL,1961,4948564550.91046
Chile,CHL,1962,5765971144.47142
Chile,CHL,1963,5702520146.03167
Chile,CHL,1964,6065708668.32735
Chile,CHL,1965,6183988944.34606
Chile,CHL,1966,7256882086.19585
Chile,CHL,1967,7145068067.64138
Chile,CHL,1968,7286820526.02462
Chile,CHL,1969,8456519044.38223
Chile,CHL,1970,9261006540.15907
Chile,CHL,1971,10999807567.1235
Chile,CHL,1972,12057501634.979
Chile,CHL,1973,17237336172.7878
Chile,CHL,1974,16584311220.1384
Chile,CHL,1975,7812161793.11971
Chile,CHL,1976,10523479088.8075
Chile,CHL,1977,14272711436.7475
Chile,CHL,1978,16373093553.7155
Chile,CHL,1979,22249574627.6911
Chile,CHL,1980,29586676576.0951
Chile,CHL,1981,35180322211.2903
Chile,CHL,1982,19710229067.2864
Chile,CHL,1983,20629678694.0684
Chile,CHL,1984,19974595028.1582
Chile,CHL,1985,17933557359.8036
Chile,CHL,1986,19197818084.6757
Chile,CHL,1987,22605488850.8981
Chile,CHL,1988,26174858613.8456
Chile,CHL,1989,30101767991.1135
Chile,CHL,1990,33428580448.2715
Chile,CHL,1991,38232330917.2011
Chile,CHL,1992,46538895685.8088
Chile,CHL,1993,49934943320.8828
Chile,CHL,1994,57438273591.0521
Chile,CHL,1995,73820425701.6603
Chile,CHL,1996,78584098983.6374
Chile,CHL,1997,85741415285.165
Chile,CHL,1998,81990010704.0602
Chile,CHL,1999,75578685735.5219
Chile,CHL,2000,78339750721.364
Chile,CHL,2001,71574739561.4329
Chile,CHL,2002,70264045939.2773
Chile,CHL,2003,76492579644.0605
Chile,CHL,2004,99075985773.6682
Chile,CHL,2005,122294145163.192
Chile,CHL,2006,153843518170.864
Chile,CHL,2007,172491076033.863
Chile,CHL,2008,179894594475.405
Chile,CHL,2009,171777900623.892
Chile,CHL,2010,217051209238.534
Chile,CHL,2011,251382573893.87
Chile,CHL,2012,267024782486.855
Chile,CHL,2013,277395018842.417
Chile,CHL,2014,259560978224.359
Chile,CHL,2015,242450355830.884
Chile,CHL,2016,249344863928.438
Chile,CHL,2017,276154259981.097
Chile,CHL,2018,295857562991.709
Chile,CHL,2019,278285058719.466
Chile,CHL,2020,254042159309.311
Chile,CHL,2021,315325547162.072
Chile,CHL,2022,301226575540.242
Chile,CHL,2023,335518054097.637
Chile,CHL,2024,330267137371.592
China,CHN,1960,59846235024.7318
China,CHN,1961,50162299349.7871
China,CHN,1962,47310737754.2287
China,CHN,1963,50812227918.5753
China,CHN,1964,59821862703.4023
China,CHN,1965,70565994356.1828
China,CHN,1966,76854053259.209
China,CHN,1967,73011350596.2485
China,CHN,1968,70980323818.7853
China,CHN,1969,79847786729.1898
China,CHN,1970,92752930873.1912
China,CHN,1971,99959013879.6308
China,CHN,1972,113871930713.841
China,CHN,1973,138764340892.0
China,CHN,1974,144418433058.472
China,CHN,1975,163687619735.857
China,CHN,1976,154196810058.643
China,CHN,1977,175226595859.778
China,CHN,1978,149788617886.179
China,CHN,1979,178573913043.478
China,CHN,1980,191487500000.0
China,CHN,1981,196218253968.254
China,CHN,1982,205480916030.534
China,CHN,1983,231130268199.234
China,CHN,1984,260442857142.857
China,CHN,1985,310064625850.34
China,CHN,1986,301310144927.536
China,CHN,1987,273455156950.673
China,CHN,1988,312888888888.889
China,CHN,1989,348380566801.619
China,CHN,1990,361560229445.507
China,CHN,1991,384510452961.672
China,CHN,1992,428502354788.069
China,CHN,1993,446557291212.148
China,CHN,1994,566929539493.172
China,CHN,1995,738190896227.55
China,CHN,1996,868523936530.083
China,CHN,1997,967753570434.667
China,CHN,1998,1037134141760.35
China,CHN,1999,1103843203575.64
China,CHN,2000,1223754919971.05
China,CHN,2001,1355036590251.52
China,CHN,2002,1489821682050.54
China,CHN,2003,1683903309843.85
China,CHN,2004,1984196551300.44
China,CHN,2005,2317551298052.05
China,CHN,2006,2791498472804.33
China,CHN,2007,3604055822571.63
China,CHN,2008,4667346414521.95
China,CHN,2009,5189577094997.58
China,CHN,2010,6192564874453.29
China,CHN,2011,7671757207851.29
China,CHN,2012,8673664713189.24
China,CHN,2013,9743124247267.24
China,CHN,2014,10674533168257.4
China,CHN,2015,11280814787468.9
China,CHN,2016,11456024084962.0
China,CHN,2017,12537559062282.9
China,CHN,2018,14147765772963.8
China,CHN,2019,14560167101283.4
China,CHN,2020,14996414166715.1
China,CHN,2021,18201698719564.0
China,CHN,2022,18316765021690.2
China,CHN,2023,18270356654533.2
China,CHN,2024,18743803170827.2
Colombia,COL,1960,4031152976.63904
Colombia,COL,1961,4540447761.19403
Colombia,COL,1962,4955543963.36869
Colombia,COL,1963,4836166666.66667
Colombia,COL,1964,5973366666.66667
Colombia,COL,1965,5760761904.7619
Colombia,COL,1966,5428518518.51852
Colombia,COL,1967,5825170438.48704
Colombia,COL,1968,5960212869.12968
Colombia,COL,1969,6450175213.74923
Colombia,COL,1970,7198360460.19887
Colombia,COL,1971,7820380970.53674
Colombia,COL,1972,8671358732.68486
Colombia,COL,1973,10315760000.3394
Colombia,COL,1974,12370029583.6419
Colombia,COL,1975,13098633901.8673
Colombia,COL,1976,15341403660.4698
Colombia,COL,1977,19470960619.1297
Colombia,COL,1978,23263511958.0509
Colombia,COL,1979,27940411250.2732
Colombia,COL,1980,33400735644.0481
Colombia,COL,1981,36388366869.0309
Colombia,COL,1982,38968039721.748
Colombia,COL,1983,38729822781.5997
Colombia,COL,1984,38253120737.9671
Colombia,COL,1985,34894411351.983
Colombia,COL,1986,34942489683.9712
Colombia,COL,1987,36373307085.0887
Colombia,COL,1988,39212550050.4223
Colombia,COL,1989,39540080200.3938
Colombia,COL,1990,47844090709.9908
Colombia,COL,1991,49175565911.0655
Colombia,COL,1992,58418985443.3172
Colombia,COL,1993,66446804802.5747
Colombia,COL,1994,81703500846.0364
Colombia,COL,1995,92507279383.0387
Colombia,COL,1996,97160109277.8087
Colombia,COL,1997,106659508271.255
Colombia,COL,1998,98443739941.1664
Colombia,COL,1999,86186158684.7685
Colombia,COL,2000,99875074951.0278
Colombia,COL,2001,98200641203.3892
Colombia,COL,2002,97945812802.8882
Colombia,COL,2003,94644969157.0987
Colombia,COL,2004,117092416666.245
Colombia,COL,2005,145600529605.803
Colombia,COL,2006,161792958904.864
Colombia,COL,2007,206229540926.312
Colombia,COL,2008,242504150472.931
Colombia,COL,2009,232468663109.595
Colombia,COL,2010,286498534094.963
Colombia,COL,2011,334966134804.887
Colombia,COL,2012,370691143018.039
Colombia,COL,2013,382093697077.685
Colombia,COL,2014,381240864422.407
Colombia,COL,2015,293492370193.166
Colombia,COL,2016,282720100286.228
Colombia,COL,2017,311866875156.879
Colombia,COL,2018,334198218098.276
Colombia,COL,2019,323031701192.84
Colombia,COL,2020,270348342541.465
Colombia,COL,2021,318524633225.395
Colombia,COL,2022,345632492851.448
Colombia,COL,2023,366291836137.916
Colombia,COL,2024,418818154879.271
Cuba,CUB,1970,5693005200.0
Cuba,CUB,1971,6914658400.0
Cuba,CUB,1972,8135150891.92025
Cuba,CUB,1973,9987709650.18094
Cuba,CUB,1974,11405957317.0732
Cuba,CUB,1975,13027415243.9024
Cuba,CUB,1976,13789579902.5579
Cuba,CUB,1977,14206158674.6988
Cuba,CUB,1978,17844705324.6753
Cuba,CUB,1979,19584443287.6712
Cuba,CUB,1980,19912889861.1111
Cuba,CUB,1981,20150254096.3855
Cuba,CUB,1982,20953510235.2941
Cuba,CUB,1983,22204940512.2235
Cuba,CUB,1984,24039383608.4235
Cuba,CUB,1985,22920490774.102
Cuba,CUB,1986,24226574634.0293
Cuba,CUB,1987,25213935012.0819
Cuba,CUB,1988,27458999472.2955
Cuba,CUB,1989,27023468665.8977
Cuba,CUB,1990,28645436569.1489
Cuba,CUB,1991,24316556025.6585
Cuba,CUB,1992,22085858243.2432
Cuba,CUB,1993,22367254864.8649
Cuba,CUB,1994,28448326756.7568
Cuba,CUB,1995,30429803651.2192
Cuba,CUB,1996,25017368700.0
Cuba,CUB,1997,25365908100.0
Cuba,CUB,1998,25736331200.0
Cuba,CUB,1999,28364615200.0
Cuba,CUB,2000,30565400000.0
Cuba,CUB,2001,31682400000.0
Cuba,CUB,2002,33590500000.0
Cuba,CUB,2003,35901200000.0
Cuba,CUB,2004,38203000000.0
Cuba,CUB,2005,42643836100.0
Cuba,CUB,2006,48835925925.9259
Cuba,CUB,2007,54262870370.3704
Cuba,CUB,2008,56302129629.6296
Cuba,CUB,2009,57481481481.4815
Cuba,CUB,2010,59562962962.963
Cuba,CUB,2011,68990000000.0
Cuba,CUB,2012,73141000000.0
Cuba,CUB,2013,77148000000.0
Cuba,CUB,2014,80656100000.0
Cuba,CUB,2015,87132800000.0
Cuba,CUB,2016,91370407900.0
Cuba,CUB,2017,96850649700.0
Cuba,CUB,2018,100050036100.0
Cuba,CUB,2019,103427600000.0
Cuba,CUB,2020,107352000000.0
Czechia,CZE,1990,41016881802.4843
Czechia,CZE,1991,30071014282.3218
Czechia,CZE,1992,35051065440.3962
Czechia,CZE,1993,41155654032.1751
Czechia,CZE,1994,48188478339.4129
Czechia,CZE,1995,60572381311.2283
Czechia,CZE,1996,67804105329.8557
Czechia,CZE,1997,62539765163.1302
Czechia,CZE,1998,67187217327.7326
Czechia,CZE,1999,65586562604.8621
Czechia,CZE,2000,62175642238.0847
Czechia,CZE,2001,68135304463.9641
Czechia,CZE,2002,82607869609.574
Czechia,CZE,2003,100435924704.881
Czechia,CZE,2004,120147899983.657
Czechia,CZE,2005,137264185596.1
Czechia,CZE,2006,156236258386.589
Czechia,CZE,2007,190040702286.917
Czechia,CZE,2008,236506264753.95
Czechia,CZE,2009,206971882704.716
Czechia,CZE,2010,211168667286.27
